Last Name,First Name,Title,ISBN,H/S,Comments
Ackerman,Diane,The Zookeeper's Wife,978-0-393-33306-0,S,
Adams,Douglas,The Hitchhiker's Guide to the Galaxy,978-0-307-29204-9,H,
Adams,Richard,Watership Down,0-380-39586-X,S,
Adiga,Aravind,The White Tiger,978-1-4165-6260-3,S,
Adkins,Roy,The War for All the Oceans,978-0-14-311392-8,S,
Aeschylus,,The Oresteia,0-553-10406-3,S,
Akpan,Uwem,Say You're One of Them,978-0-316-08637-0,S,
Albom,Mitch,Tuesdays with Morrie,0-385-48451-8,H,
Alcott,Louisa May,A Long Fatal Love Chase,0-679-44510-2,H,
Alexie,Sherman,Flight,978-0-8021-7037-4,S,
Alexie,Sherman,The Absolutely True Diary of a Part-Time Indian,978-0-316-01368-0,H,
Alger,Horatio,Brave and Bold,,H,
Alger,Horatio,Do and Dare,,H,
Alighieri,Dante,The Inferno,,S,
Alighieri,Dante,The Paradiso,,S,Library of Congress Catalog Card No. 72-130872
Alighieri,Dante,The Purgatorio,,S,Library of Congress Catalog Card No. 61-18103
Allende,Isabel,Daughter of Fortune,0-06-019491-X,H,
Amory,Cleveland,The Cat and the Curmudgeon,0-316-03739-7,H,
Amory,Cleveland,The Cat Who Came for Christmas,0-14-011342-8,S,
Andersen,Hans Christian,Andersen's Fairy Tales,0-448-05805-7,H,
Angelou,Maya,Wouldn't Take Nothing for My Journey Now,0-553-56907-4,S,
Aquinas,St. Thomas,Selected Writings of St. Thomas Aquinas,0-672-60469-8,S,
Archer,Jeffrey,A Prisoner of Birth,978-0-312-94409-4,S,
Archer,Jules,A House Divided,0-590-46102-8,S,
Arem,Ridha,The Thyroid Solution,0-345-42920-6,S,
Aristophanes,,Four Comedies,,S,
Arlen,Michael J.,Say Goodbye to Sam,0-14-008224-7,S,
Arliss,George,Up the Years from Bloomsbury,,H,
Armstrong,William H.,Sounder,0-590-40212-9,S,
Arno,Peter,The Bedside Tales,,H,
Aron,Raymond,In Defense of Decadent Europe,0-89526-686-5,H,
Asher,Jay,Th1rteen R3asons Why,978-1-59514-188-0,S,
Asimov,Isaac,Foundation and Earth,0-385-23312-4,H,
Asimov,Isaac,Foundation's Edge,0-385-17725-9,H,
Asimov,Isaac,The Robots of Dawn,,H,
Asimov,Isaac,The Universe From Flat Earth To Quasar,0-380-01596-X,S,
Atwood,Margaret,The Handmaid's Tale,0-385-49081-X,S,
Auel,Jean M.,The Valley of Horses,0-553-25053-1,S,
Augustine,Saint,Confessions,0-14-044114-X,S,
Austen,Jane,Emma,0-7607-0165-2,H,
Austen,Jane,Persuasion,1-57335-382-5,S,
Austen,Jane,Persuasion (Annotated),978-0-307-39078-3,S,
Bacigalupi,Paolo,Ship Breaker,978-0-316-05619-9,S,
Bahal,Aniruddha,Bunker 13,0-374-11730-6,H,
Bain,David Haward,Empire Express,0-14-008499-1,S,
Baker,Russell,Growing Up,0-451-16838-0,S,
Baker,Trudy,Coffee Tea or Me?,,S,
Barbery,Muriel,The Elegance of the Hedgehog,978-1-933372-60-0,S,
Bardugo,Leigh,Shadow and Bone,978-1-250-02743-6,S,
Barnet,Sylvan,Eight Great Comedies,0-451-62364-9,S,
Barrett,Andrea,The Voyage of the Narwhal,0-393-31950-4,S,
Barrow,R. H.,The Romans,0-14-020196-3,S,
Barry,Brunonia,The Lace Reader,978-0-06-162477-3,S,
Barry,Dave,Dave Barry's Greatest Hits,0-449-90406-7,S,
Baumann,Hans,Lion Gate and Labyrinth,,H,Library of Congress Catalog Card No. 67-20216
Bazna,Elyesa,I Was Cicero,,S,
Beatty,Patricia,How Many Miles to Sundown,0-688-30102-9,H,
Bellairs,John,"The Drum, the Doll, and the Zombie",0-8037-1462-9,H,
Bellow,Saul,Humboldt's Gift,0-380-00655-3,S,
Bellow,Saul,Seize the Day,0-14-018937-8,S,
Benaron,Naomi,Running the Rift,978-1-61620-042-8,H,
Benioff,David,City of Thieves,978-0-452-29529-2,S,
Bennett,Charles E.,New Latin Grammar,,H,
Berg,Elizabeth,The Handmaid and the Carpenter,1-4000-6538-0,H,
Bergreen,Laurence,Over the Edge of the World,978-0-06-093638-9,S,
Bernstein,Carl,All the President's Men,,S,Library of Congress Catalog Card No. 73-22334
Bloom,Amy,Away,978-0-8129-7779-0,S,
Bloom,Harold,Shakespeare the Invention of the Human,978-1-57322-751-3,S,
Blume,Judy,"Are You There God? It's Me, Margaret.",978-0-440-40419-4,S,
Blume,Judy,Summer Sisters,0-440-22643-0,S,
Blume,Judy,Wifey,0-671-45136-7,S,
Boethius,Ancius,The Consolation of Philosophy,0-14-044208-1,S,
Bonner,Jeffrey P.,Sailing with Noah,978-0-8262-1637-3,S,
Booss,Claire,Scandinavian Folk & Fairy Tales,0-517-43620-5,H,
Borroff,Marie,Sir Gawain and the Green Knight,0-393-09754-4,S,
Bostwick,Marie,Ties That Bind,978-0-7582-6928-5,S,
Bowden,Mark,Black Hawk Down,0-14-028850-3,S,
Bowen,R. Sidney,Dave Dawson on Convoy Patrol,,H,
Box,C. J.,Below Zero,978-0-425-23472-3,S,
Boyce,Burke,The Perilous Night,0-515-02861-4,S,
Bradbury,Ray,The Martian Chronicles,978-0-380-97383-5,H,
Bradley,Marion Zimmer,The Mists of Avalon,0-345-35049-9,S,
Bradley,Omar N.,A Soldier's Story,,H,
Brand,Max,Ambush at Torture Canyon,0-671-75763-6,S,
Brand,Max,The Smiling Desperado,,S,Library of Congress Catalog Card No. 52-13137
Brashares,Ann,My Name is Memory,978-1-59448-758-3,H,
Brashares,Ann,My Name is Memory,978-1-59448-518-3,S,
Brashares,Ann,The Sisterhood of the Traveling Pants,0-385-73058-6,S,
Brinker,Hans,Compton's Famous Classics for Children,,H,
Britain,Kristen,Green Rider,0-88677-858-1,S,
Brooks,Terry,Genesis of Shannara,978-0-345-48411-6,H,
Browder,Walter,101 Secrets A Good Dad Knows,1-55853-719-8,H,
Brown,Dan,Angels & Demons,0-671-02736-0,S,
Brown,Dan,Deception Point,0-671-02738-7,S,
Brown,Dan,Digital Fortress,0-552-15169-6,S,
Brown,Dan,The DaVinci Code,0-385-50420-9,H,
Brown,Dan,The Lost Symbol,978-0-385-50422-5,H,
Brown,Dee,Bury My Heart at Wounded Knee,0-8050-1730-5,S,
Brown,Dee,Cavalry Scout,,S,Library of Congress Catalog Card No. 57-10536
Browning,Robert,Selected Poems,,H,
Brunt,Carol Rifka,Tell the Wolves I'm Home,978-0-8129-8285-5,S,
Buchan,Elizabeth,Revenge of the Middle-Aged Woman,0-670-03206-9,H,
Buchan,John,A History of English Literature,,H,
Buck,Pearl S.,Imperial Woman,0-671-78270-3,S,
Burke,Jan,Flight,1-58724-051-3,H,
Burke,Mrs. Kay,Your Sex Questions Answered,,S,
Burnett,Frances Hodgs,A Little Princess,1-85326-136-X,S,
Butler,Samuel,The Way of All Flesh,,S,
Byatt,A.S.,Possesson,0-679-73590-9,S,
Caidin,Martin,A Torch to the Enemy,,S,
Caldwell,Erskine,Around About America,,S,
Caldwell,Ian,The Rule of Four,0-385-33711-6,H,
Caldwell,Ian,The Rule of Four,0-440-24135-9,S,
Cameron,W. Bruce,How to Remodel a Man,0-312-33317-X,H,
Campbell,Bebe Moore,Your Blues Ain't Like Mine,0-345-40112-3,S,
Camus,Albert,The Stranger,0-679-72020-0,S,
Cannon,Julie L.,The Romance Readers' Book Club,978-0-452-28899-7,S,
Capote,Truman,In Cold Blood,978-0-679-74558-7,S,
Carnegie,Dale,How to Win Friends and Influence People,0-671-64551-X,S,
Carroll,Lewis,More Annotated Alice,0-394-58571-2,H,
Cartland,Barbara,Amoe Imposible,,S,
Cary,John H.,The Social Fabric,0-316-13074-5,S,
Casey,Susan,Devil's Teeth,0-8050-8011-2,S,
Chang,Jung,Wild Swans,0-671-68546-5,H,
Cheever,John,The Wapshot Chronicle,0-7838-8488-5,H,
Chesterton,G.K.,Father Brown Crime Stories,0-517-00182-9,H,
Chevalier,Tracy,Girl With a Pearl Earring,0-452-28493-7,S,
Child,Lee,Gone Tomorrow,978-0-385-34057-1,H,
Child,Lee,The Best American Mystery Stories,978-0-547-23746-6,S,
Chopin,Kate,The Awakening,0-553-21330-X,S,
Christie,Agatha,Death in the Air,,S,
Christie,Agatha,The Murder of Roger Ackroyd,0-671-55358-5,S,
Clancy,Tom,Clear and Present Danger,0-399-13440-9,H,
Clancy,Tom,Fighter Wing,0-425-14957-9,S,
Clancy,Tom,Patriot Games,0-425-10972-0,S,
Clancy,Tom,Rainbow Six,0-425-17034-9,S,
Clancy,Tom,Red Storm Rising,0-425-10107-X,S,
Clancy,Tom,The Cardinal of the Kremlin,0-425-11684-0,S,
Clancy,Tom,The Hunt for Red October,0-425-12027-9,S,
Clapton,Eric,Clapton: The Autobiography,978-0-7679-2536-5,S,
Clark,Mary Higgins,Moonlight Becomes You,0-671-86711-3,S,
Clarke,Arthur C.,2061: Odyssey Three,0-345-35173-8,H,
Clavell,James,Tai-Pan,,S,
Cline,Ernest,Ready Player One,978-0-307-88744-3,S,
Coatsworth,Elizabeth,The Cat Who Went to Heaven,0-689-71433-5,S,
Coelho,Paulo,The Alchemist,978-0-06-112241-5,S,
Coelho,Paulo,The Pilgrimage,978-0-06-251729-6,S,
Cohn,Art,The Nine Lives of Michael Todd,,S,
Coleridge,Samuel Taylor,The Portable Coleridge,0-670-22708-0,H,
Colin,Emily,The Memory Thief,978-0-345-53039-4,S,
Collins,Suzanne,The Hunger Games,978-0-439-02352-8,S,
Conant,Jennet,A Covert Affair,978-1-4391-6353-5,S,
Congreve,William,The Mermaid Series: William Congreve,,H,
Conrad,Joseph,Heart of Darkness and the Secret Sharer,,S,
Conrad,Joseph,Lord Jim,,S,
Conroy,Pat,Beach Music,0-553-57457-4,S,
Cooley,Leland Frederick,The Run for Home,,S,Library of Congress Catalog Card No. 58-12034
Coonts,Stephen,Flight of the Intruder,0-87021-200-1,H,
Cooper,Henry S.F.,The Evening Star,0-374-15000-1,H,
Cornwell,Bernard,Excalibur,0-312-18575-8,H,
Cornwell,Patricia,Blow Fly,0-399-15089-7,H,
Cornwell,Patricia,The Body Farm,0-684-19597-6,H,
Cosby,Bill,Childhood,0-399-13647-9,H,
Costan,Thomas B.,High Towers,,S,
Covey,Stephen R.,The 7 Habits of Highly Effective People,0-671-70863-5,S,
Coville,Bruce,The Skull of Truth,0-671-02343-8,S,
Cox,Sidney,Prose Preferences,,H,
Cox,William R.,The Valley Eleven,,H,Library of Congress Catalog Card No. 67-26153
Coyle,Harold,Sword Point,0-671-66554-5,S,
Crane,Stephen,The Red Badge of Courage,0-14-062089-3,S,
Creech,Sharon,Chasing Redbird,0-06-440696-2,S,
Creer,Leland Hargrave,The Founding of an Empire,,H,
Crichton,Michael,Airframe,0-679-44648-6,H,
Crichton,Michael,Rising Sun,0-345-38037-1,S,
Crichton,Michael,The Andromeda Strain,0-345-37848-2,S,
Crichton,Michael,Timeline,978-0-345-51781-4,S,
Cronin,A.J.,Grand Canary,,S,
Cross,Amanda,No Word From Winifred,0-345-33381-0,S,
Cussler,Clive,Das Alexandria-Komplott,3-7645-5245-X,H,
Dana,Richard Henry,Two Years Before the Mast,,H,
Däniken,Erich von,Chariots of the Gods?,,S,
Davidson,Diane Mott,Dying for Chocolate,0-553-08756-X,H,
Davidson,Diane Mott,Sticks and Scones,0-553-57831-6,S,
Davidson,Diane Mott,Tough Cookie,0-553-10723-2,H,
Davis,Jill A.,Ask Again Later,978-0-06-087597-8,S,
Defoe,Daniel,Moll Flanders,0-393-09412-X,S,
Demille,Nelson,The Gate House,978-0-446-53342-3,H,
Denton,Jeremiah A.,When Hell was in Session,0-935280-00-6,S,
Descartes,René,Disclosure on Method and the Meditations,0-14-044206-5,S,
Dessen,Sarah,Dreamland,0-14-230067-5,S,
Detz,Joan,"It's Not What You Say, It's How You Say It",978-0-88486-405-9,H,
DiCamillo,Kate,Because of Winn-Dixie,0-439-25072-2,S,
Dickens,Charles,Hard Times,1-85326-232-3,S,
Dickens,Charles,The Mystery of Edwin Drood,0-19-254516-7,H,
Dickens,Charles,The Pickwick Papers,,S,
Dickinson,Emily,Love Poems and Others,,H,
Diehl,William,27,0-345-37073-2,S,
Diffenbaugh,Vanessa,The Language of Flowers,978-0-345-52555-0,S,
Dillard,Annie,The Writing Life,0-06-091988-4,S,
Dillmont,Thérèse de,The Complete Encyclopedia of Needlework,1-56138-702-9,S,
Dirda,Michael,Caring for Your Books,,S,
Doder,Joshua,Grk Smells a Rat,978-0-385-73722-7,H,
Doerr,Harriet,The Tiger in the Grass,0-14-025148-0,S,
Dolnick,Edward,The Clockwork Universe,978-0-06-171952-3,S,
Donne,John,Selected Poems,,H,
Donnelly,Jennifer,A Northern Light,0-15-205310-7,S,
Donnelly,Jennifer,The Tea Rose,978-0-312-37802-8,S,
Dostoyevsky,Fyodor,Crime and Punishment,,S,Library of Congress Catalog Card No. 67-27378
Drake,W. Raymond,Gods and Spacemen of the Ancient Past,,S,
duMaurier,Daphne,Mary Anne,,S,
Duncan,Dayton,Out West [An American Journey],0-670-80822-9,H,
Durbin,Charles,The Patriot,,S,
Dyer,Dr. Wayne,Real Magic,0-06-109150-2,S,
Dylan,Bob,Chronicles - Volume One,970-0-7432-4458-9,S,
Dyson,Cindy,And She Was,978-0-06-059770-2,H,
Eagleman,David,Incognito - The Secret Lives of the Brain,978-0-307-38992-3,S,
Eagleman,David,Sum - Forty Tales from the Afterlives,978-0-307-38993-0,S,
Earhart,Amelia,Last Flight,0-517-56794-6,S,
Eber,Irene,The Choice,0-8052-4197-3,H,
Ebershoff,David,The 19th Wife,978-0-8129-7415-7,S,
Ebershoff,David,The Danish Girl,0-14-029848-7,S,
Eco,Umberto,The Name of the Rose,0-446-35720-0,S,
Edgar,Jim,Bad Cat,978-0-7611-3619-4,S,
Edwards,Frank,Flying Saucers - Serious Business,,S,
Edwards,Julie,Mandy,0-06-440296-7,S,
Edwards,Kim,The Lake of Dreams,978-0-670-02217-5,H,
Edwards,Selden,The Little Book,978-0-525-95061-5,H,
Edwards,Selden,The Little Book,978-0-452-29551-3,S,
Egan,Greg,The Clockwork Rocket,978-1-59780-292-5,S,
Eggars,Dave,A Heartbreaking Work of Staggering Genius,0-375-72578-4,S,
Eliot,George,Adam Bede,0-451-52527-2,S,
Eliot,George,Felix Holt: The Radical,0-14-043435-6,S,
Eliot,George,Gillian Beer,0-253-25450-7,S,
Eliot,George,MiddleMarch,0-19-281760-4,S,
Eliot,George,Silas Marner,0-451-52108-0,S,
Eliot,George,The Lifted Veil,0-14-016116-3,S,
Eliot,George,The Mill on the Floss,0-451-51922-1,S,
Elliott,George P.,A George P. Elliott Reader,0-87451-577-7,H,
Ellis,Joseph J.,Founding Brothers,0-375-70524-4,S,
Elrod,P.N.,Strange Brew,978-0-312-38336-7,S,
Endore,Guy,King of Paris,,S,
Enger,Leif,Peace Like a River,0-8021-3925-6,S,
Engstrom,Ted W.,The Pursuit of Excellence,0-310-24241-X,S,
Enke,Brian,Shadows of Medusa,1-4137-3582-7,S,
Erdrich,Louise,The Master Butchers Singing Club,0-965-70070-4,S,
Euripides,,Ten Plays,0-553-11508-1,S,
Every,Dale Van,Charles Lindbergh - His Life,,H,
Every,Dale Van,The Scarlet Feather,,S,
Fast,Howard,April Morning,0-553-27322-1,S,
Fast,Howard,My Glorious Brothers,,S,
Faulkner,William,As I Lay Dying,,S,
Faulkner,William,"Go Down, Moses",0-394-71884-4,S,
Faulkner,William,Sanctuary,,S,
Faulkner,William,The Sound and the Fury,0-394-70005-8,S,
Faulks,Sebastian,Birdsong,0-679-77681-8,S,
Felleman,Hazel,The Best Loved Poems of the American People,0-385-00019-7,H,
Feuchtwanger,Lion,Raquel,,S,
Feuchtwanger,Lion,This is the Hour,,H,
Fielding,Henry,The History of Tom Jones,,H,
Fielding,Henry,The History of Tom Jones,,S,
Finch,Phillip,Trespass,0-425-12436-3,S,
Fiorina,Carly,Tough Choices,978-1-59184-181-4,S,
Fitzgerald,F. Scott,The Great Gatsby,978-0-7432-7356-5,S,
Flaubert,Gustave,Madame Bovary,,S,Library of Congress Catalog Card No. 59-5944
Fleming,Joan,In the Red,,S,Library of Congress Catalog Card No. 61-17454
Fleming,Thomas,Conquerors of the Sky,0-765-30322-1,H,
Flynn-Hui,Kathleen,Beyond the Blonde,0-446-69452-5,S,
